region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed
155,0177p305,17.79742765273312,30.5,0.0623364653729796,2819,25,35,136,300,538
156,0177m187,17.7891654465593,-18.75,0.0623891976930965,4570,8,21,96,217,387
157,0178m022,17.875,-2.25,0.0624517652236229,4526,13,27,93,226,437
158,0178m135,17.84593437945792,-13.5,0.0624202734762766,4832,26,51,139,288,514
159,0179p222,17.94602698650675,22.25,0.0624427131056328,2249,17,35,117,250,439
160,0182p117,18.22946175637394,11.75,0.0624036987428941,2525,6,25,96,240,423
161,0183p270,18.33592534992224,27.0,0.0623565502051461,2184,12,26,95,212,383
161,0183p272,18.39313572542902,27.25,0.0624114502828521,1920,13,27,90,198,331
162,0185p262,18.50077279752705,26.25,0.0623790438222492,2400,11,22,105,214,340
163,0185p285,18.59621451104101,28.5,0.0623765594611283,2103,20,38,133,272,420
164,0186m022,18.625,-2.25,0.0624517652236229,4242,17,38,148,304,524
165,0188m382,18.88888888888889,-38.25,0.062326691103885,5182,7,20,102,222,402
166,0189p257,18.96923076923077,25.75,0.0623559824876632,1979,35,73,154,288,447
167,0191m025,19.125,-2.5,0.0624404643164087,3947,8,24,87,170,319
168,0191m800,19.13385826771654,-80.0,0.0615288330411993,3581,7,24,88,207,380
169,0191p167,19.17391304347826,16.75,0.0624502565992151,2505,10,28,104,250,424
170,0193m652,19.30693069306931,-65.25,0.0621771394196121,4315,10,27,111,217,390
171,0193p090,19.33988764044944,9.0,0.0624240731305223,2282,39,61,112,236,412
172,0193p262,19.33539412673879,26.25,0.0623790438222492,2069,18,45,110,234,405
173,0194p140,19.44206008583691,14.0,0.0624653405514125,2233,15,29,116,227,402
173,0194p142,19.44206008583691,14.25,0.0623967901828795,2601,11,30,131,277,459
174,0198m560,19.82673267326733,-56.0,0.062286288847719,4710,14,27,103,256,440
175,0199p062,19.98603351955307,6.25,0.0624755582888608,3060,13,25,93,209,377
176,0201m097,20.15492957746479,-9.75,0.0624647710927908,2989,9,23,86,198,354
