name,ra,dec,zlens,type,grading,ref
DESI-036.1303-16.2692,36.13029,-16.26922,0.637,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.1325-11.2796,36.13254,-11.27956,0.775,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.1436-00.0411,36.14358,-0.0411,0.784581,galaxy,confident,Huang et al. (2020) - arXiv:1906.00970
DESI-036.1457-05.4990,36.14571,-5.499,0.775,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.1889-28.6812,36.18892,-28.68121,0.702,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.2067-54.2955,36.20667,-54.29553,0.651,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.2194-04.3486,36.21942,-4.3486,0.981,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.2244-06.3029,36.22442,-6.3029,0.549,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.2340+08.8300,36.234,8.83,0.326,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730
DESI-036.2542-05.6058,36.25421,-5.6058,0.438075,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.2546-59.1169,36.25458,-59.11689,0.594,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.2714-06.8192,36.27142,-6.8192,0.167,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.2826-48.8493,36.28262,-48.84929,0.797,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.3124+18.3074,36.31242,18.3074,0.205,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.3354-20.4249,36.33544,-20.42487,0.756,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-036.3530-04.6792,36.35279,-4.67915,0.26,galaxy,probable,Pierre et al. (2006) - arXiv:astro-ph/0607170 | Huang et al. (2020) - arXiv:1906.00970
DESI-036.3834-04.8500,36.38336,-4.85003,0.495,galaxy,probable,Cabanac et al. (2006) - arXiv:0610362 | Huang et al. (2021) - arXiv:2005.04730
DESI-036.3915-05.0365,36.3915,-5.0365,0.756,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.4081-05.2473,36.40808,-5.2473,0.304,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.4229+03.9457,36.42296,3.94571,0.421,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.4268-05.1548,36.42679,-5.1548,0.2,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.4372+00.9723,36.43717,0.97234,0.7384,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.4827-16.8621,36.48271,-16.8621,0.325,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
