brickname,lrg_count
0789m380,7
0774m615,3
1133p247,9
2059m855,11
2038p240,3
1499p165,7
2061m145,12
2079m370,110
2062m402,9
2677p255,7
3532m672,4
3557p120,3
0296m202,13
0335p157,2
0347p227,8
0356m077,6
0835m475,14
0841m490,5
2148p012,11
2161m195,4
2594p142,11
0855m382,9
0874m432,6
1421p202,6
1502p287,8
2086p107,7
2052p157,7
2058p227,37
2134m152,8
2633p225,4
2636p205,7
3129m132,6
3133m355,4
3127m470,3
3238p027,3
3233p180,14
3488m697,4
3473p002,4
0089m347,5
0073m400,19
0235p280,12
0248p285,3
0707m492,3
1087p300,15
1105m607,2
1100m607,9
1325p152,8
1345p252,4
1348p320,11
1396m007,5
1378p025,1
1876m052,6
1928m255,9
2306m002,9
2329m042,6
2491p192,13
2475p210,8
2472p237,16
2476p282,3
2478p255,4
2455p262,8
2531m005,11
3163m797,11
3465m137,19
0293m720,6
0273p130,9
0290p165,4
0278p270,13
0586m002,8
0550m092,1
0624p140,3
0609p100,11
0661m012,10
0763m085,7
0773m102,8
0771m230,8
1391p132,4
1615p275,5
1829p092,5
1829p107,4
1906p067,3
1983m017,17
2691p240,26
3048m747,8
3141m007,9
3437m390,2
3448m470,5
3402m512,49
0516m435,2
0524m500,4
0531m512,5
0509m550,9
1219m737,9
1707p090,7
1792m355,8
3117m835,10
3406p122,10
0102p155,13
0106p182,5
0120p160,7
0108p207,6
0149p307,7
0199m100,8
0191m380,21
0600m210,4
0557m365,9
0597m415,3
0556m497,1
0578m587,3
0643p000,9
0621m215,1
0647m247,6
1547m132,17
1527m165,7
1503m240,4
1591p007,6
1575p177,5
1586p277,3
1585p285,8
1804m255,8
2020m242,5
2028m425,21
3310m575,2
3322m687,18
0196p045,10
0195p115,4
0175p160,9
0197p255,6
0456p067,6
0506m082,5
0505m100,4
0533m237,7
1693m137,4
1697m147,48
2183p130,5
2158p235,3
2329m065,3
2322m125,7
3009m622,9
3189p055,17
3194p057,4
3203m002,6
3379p312,1
3433m102,3
0049m545,2
0004m740,5
0218m262,9
0209m302,4
0242m460,6
0424m080,3
0408m110,5
0961m497,3
0954m515,5
1313m002,4
1669p110,9
2234p072,7
2236p107,11
2221p300,3
2271m120,8
2363p080,9
2780m582,37
3174m110,8
3465p127,7
3458p112,44
3494p245,3
3508m130,7
3514m130,7
0008m092,5
0012m447,6
0396p132,7
0392p212,11
0620m565,3
0730m115,4
1199p105,26
1608m002,6
1876p005,5
1873p210,10
1857p277,3
3258m452,2
3340m765,1
3338p090,2
3338p115,5
3334p192,4
3561m040,5
3562m120,5
0040p280,9
0018p267,3
0461m615,5
1055m552,14
1073m617,7
1436m167,8
1412p055,8
1571m285,3
1572m265,11
2246p087,11
2286m012,12
2256m070,2
2259m197,5
2361m185,11
2742p242,10
2800m562,10
3492p077,8
3470p125,6
0008m110,14
0026m250,8
0012m237,4
0623m612,3
0615p052,10
0689p095,15
0658p070,5
0725m050,7
1006m622,13
1232p040,5
1207p037,6
1217p340,3
1616m132,6
1602m175,2
1630m290,11
1839m317,64
1848p007,8
1846p072,2
1906p122,10
1932p217,6
1963m002,6
1999m057,5
2345p050,13
2346p027,8
2348p080,10
2383m092,9
3113m037,10
3443m377,5
0250m572,14
0218p002,5
0341m300,5
0302m372,10
0525m507,7
0526m607,8
0501m690,12
1708p135,3
1715p165,5
1744p230,4
1834p257,7
1829p255,4
1882m085,14
1902m242,7
1921m340,9
2259p032,8
2263p167,10
2460p247,5
2454p240,9
2989m422,9
3498m035,6
3477m150,2
3497m375,6
3598m462,5
0266m807,6
0290p102,7
0577m070,3
0572m117,7
0658m105,3
0655m242,4
0769m070,4
0778m082,8
1350p157,9
1615p177,8
1774p347,9
1783p340,9
1808p000,1
1822m222,10
2015m342,4
2848m652,6
3248p100,7
3341m012,4
3349m137,3
3319m587,7
0091p042,3
0193p000,6
0534m132,5
0819m085,10
0816m277,4
0825m307,3
1259p080,6
1660m202,5
1695m295,9
1656m345,2
2026p017,10
2041p187,4
2024p160,7
2032p235,5
2423p017,5
2667p295,9
3048m435,6
3544m590,9
0267m220,2
0270m235,3
0273m332,9
0257m627,6
0348p075,11
0833m545,11
0893m347,9
1409p322,4
1420p322,3
1477m212,4
1500p055,5
1502p177,4
2149p032,2
2115p122,6
2118p147,6
2113p220,6
2196m147,12
2148m242,21
2188m205,9
2584p265,1
2950m625,7
3110m755,7
3390m067,8
3363m382,3
3451m800,5
3418p005,13
3431p030,8
0194m112,4
0154m125,9
0180m530,5
0188m637,8
0595m230,7
0561m435,6
0592m585,5
0638m105,4
0623m202,4
0618m240,6
1468p267,9
1574p070,4
1562p067,5
1593p207,9
1568p230,8
1861p022,5
1876p080,12
1943m155,7
1978p012,6
2931m435,7
2937m432,4
3379m740,6
0134m120,3
0146m195,17
0484m072,5
0498m060,7
0488m130,7
0784m410,4
0916m770,11
0914m800,9
1471m825,7
1476p062,12
2395p320,6
2433m195,10
2856m475,11
3284m615,4
3331p010,5
3343p145,2
3302p177,4
3309p235,12
3338p217,6
3349p292,5
3511p310,8
3563m082,5
3583m350,2
0021p100,4
0045p257,6
0019p350,4
0384m260,17
0396m315,5
0488m270,7
0494m332,4
0464m327,8
0449m402,4
1084m687,14
1094p267,5
1411m187,2
1415p077,13
1421p075,9
1573m125,9
1590m137,6
1556m165,9
1581m280,5
2169p080,2
2182p125,3
2181p335,8
2213m180,5
2317m070,6
2339m090,11
2343m112,11
3083m042,8
3162p045,9
3181p022,6
3200p150,15
3353p090,5
3360p052,25
3397p280,4
3371p272,4
0028m550,11
0021m585,2
0218m247,8
0401m010,5
0977m392,4
1688p017,8
1671p150,5
1695p292,3
1785p142,8
1793p127,3
1790p157,42
2084p052,5
2067p055,6
2054p125,7
2087p312,6
2103m027,12
2129m040,7
2124m252,3
2472m172,11
2632p170,6
2642p170,12
3134m052,6
3125m160,6
3140m540,25
3115m532,10
3117m527,5
3211m807,14
3240p085,11
3222p170,9
0064m300,2
0099m377,4
0204p137,6
0235p187,11
0241p317,7
0266m090,5
0566p015,8
0734m490,10
1096p310,8
1125m620,4
2071p207,2
2052p287,6
2068p260,3
2076p335,3
2125m155,9
2146m242,10
2103m267,11
2110m345,17
2650p170,7
3143m107,7
3105m360,8
3228p042,4
0063m365,4
0085m397,2
0221p250,5
0224p202,7
0708m587,9
0717m642,3
1136m487,12
1136m697,20
1348p125,9
1361m125,3
2154p320,3
2206m027,4
2300m142,13
2327m230,8
3166p007,15
3182p047,5
3151p057,8
3246m097,4
3376p082,15
0008p070,2
0220m190,4
0216m202,4
0246m277,7
0406m242,6
1297p250,2
1308m040,1
1695p047,7
1650p055,13
1680p065,6
1683p052,5
1686p125,5
1763p045,6
1778p150,6
1793p137,3
2104p085,2
2144p127,7
2131p122,5
2573p155,7
2994m595,13
3363m010,2
3353m375,9
0165m197,3
0599m560,9
1466p335,1
1523m040,7
1541m240,7
1598p045,7
1580p135,2
1591p237,9
1759p332,6
1819m155,8
1801m205,14
1828m225,12
1840m265,4
2031m225,9
2018m305,7
2510p062,9
2802m695,18
3263p070,10
3289p095,10
3270p272,5
3322m125,12
2012p170,5
2068m017,2
2095m075,4
2687p285,8
2747m655,3
3532m297,7
3598p117,49
3553p270,4
3575p312,37
3598p315,3
0320p137,8
0332p130,5
0318p102,3
0802m422,4
0868m302,6
1497m140,25
1464m120,12
1501p070,6
1814p152,4
1822p337,5
2274p220,2
2870m757,9
3258m515,7
3286p010,5
3592m287,6
3567m372,7
0014p162,6
0025p347,6
0061m080,4
0061m067,6
0354m472,6
0474m367,1
1166m675,10
1198p022,4
1160p095,9
1180p130,4
1447m180,7
2995m440,11
3152m470,3
3178m565,15
3449p312,5
3463m027,4
3485m060,175
3562m685,3
0270p075,7
0319m572,16
0337m645,2
0597m047,3
0559m062,10
0623p102,25
0699m080,9
0758m172,6
1367p240,3
1426m022,5
1605p050,5
1617p185,8
0063p165,4
0088p185,10
0076p297,19
0152p085,35
0409m467,4
0417m482,8
0438p002,4
0520m060,5
0763m865,4
0814m072,10
1677m072,2
1650m197,6
1992m287,4
1953m257,5
1962m332,5
1958m387,21
2927m477,2
2944m530,9
2940m530,142
2929m630,7
2901m680,3
0117m147,3
0127m147,7
0141m160,4
0103m250,7
0490m155,4
1145p280,11
1479m810,13
1458p022,3
1497p115,3
1734m145,3
1745m267,7
2202p045,9
2209p235,2
2209p267,4
2272m080,5
2260m115,3
2296m130,9
2261m297,6
2256m340,35
2362m187,14
2369p097,3
2726p222,9
2704p217,18
3518m065,4
0023m072,7
0026m057,7
0017m372,7
0021m402,5
0011m417,5
0386m765,4
